Province/State,Country,Date last updated,Confirmed,Suspected,Recovered,Deaths
Shanghai,Mainland China,1/21/2020,9,10,,
Yunnan,Mainland China,1/21/2020,1,,,
Beijing,Mainland China,1/21/2020,10,,,
Taiwan,Mainland China,1/21/2020,1,,,
Jilin,Mainland China,1/21/2020,,1,,
Sichuan,Mainland China,1/21/2020,2,1,,
Tianjin,Mainland China,1/21/2020,2,,,
Ningxia,Mainland China,1/21/2020,,1,,
Anhui,Mainland China,1/21/2020,,3,,
Shandong,Mainland China,1/21/2020,1,,,
Guangdong,Mainland China,1/21/2020,17,4,,
Guangxi,Mainland China,1/21/2020,,1,,
Jiangxi,Mainland China,1/21/2020,2,,,
Henan,Mainland China,1/21/2020,1,,,
Zhejiang,Mainland China,1/21/2020,5,16,,
Hainan,Mainland China,1/21/2020,,1,,
Hubei,Mainland China,1/21/2020,270,11,,
Hunan,Mainland China,1/21/2020,1,,,
Guizhou,Mainland China,1/21/2020,,1,,
Liaoning,Mainland China,1/21/2020,,1,,
Chongqing,Mainland China,1/21/2020,5,,,
Hong Kong,Mainland China,1/21/2020,,117,,
Heilongjiang,Mainland China,1/21/2020,,1,,
,Japan,1/21/2020,1,,,
,Thailand,1/21/2020,2,,,
,South Korea,1/21/2020,1,,,
Washington,United States,1/21/2020,1,,,
Anhui,Mainland China,1/22/2020 12:00,1,4,,
Beijing,Mainland China,1/22/2020 12:00,14,,,
Chongqing,Mainland China,1/22/2020 12:00,6,,,
Fujian,Mainland China,1/22/2020 12:00,1,,,
Gansu,Mainland China,1/22/2020 12:00,,,,
Guangdong,Mainland China,1/22/2020 12:00,26,1,,
Guangxi,Mainland China,1/22/2020 12:00,2,1,,
Guizhou,Mainland China,1/22/2020 12:00,1,,,
Hainan,Mainland China,1/22/2020 12:00,4,,,
Hebei,Mainland China,1/22/2020 12:00,1,,,
Heilongjiang,Mainland China,1/22/2020 12:00,,1,,
Henan,Mainland China,1/22/2020 12:00,5,,,
Hong Kong,Mainland China,1/22/2020 12:00,,117,,
Hubei,Mainland China,1/22/2020 12:00,444,,,
Hunan,Mainland China,1/22/2020 12:00,4,,,
Inner Mongolia,Mainland China,1/22/2020 12:00,,,,
Jiangsu,Mainland China,1/22/2020 12:00,1,,,
Jiangxi,Mainland China,1/22/2020 12:00,2,,,
Jilin,Mainland China,1/22/2020 12:00,,1,,
Liaoning,Mainland China,1/22/2020 12:00,2,,,
Macau,Mainland China,1/22/2020 12:00,1,,,
Ningxia,Mainland China,1/22/2020 12:00,1,,,
Qinghai,Mainland China,1/22/2020 12:00,,,,
Shaanxi,Mainland China,1/22/2020 12:00,,,,
Shandong,Mainland China,1/22/2020 12:00,2,,,
Shanghai,Mainland China,1/22/2020 12:00,9,10,,
Shanxi,Mainland China,1/22/2020 12:00,1,,,
Sichuan,Mainland China,1/22/2020 12:00,5,2,,
Taiwan,Mainland China,1/22/2020 12:00,1,,,
Tianjin,Mainland China,1/22/2020 12:00,4,,,
Tibet,China,1/22/2020 12:00,,,,
Washington,US,1/22/2020 12:00,1,,,
Xinjiang,Mainland China,1/22/2020 12:00,,,,
Yunnan,Mainland China,1/22/2020 12:00,1,,,
Zhejiang,Mainland China,1/22/2020 12:00,10,,,
,Japan,1/22/2020 12:00,2,,,
,Thailand,1/22/2020 12:00,2,,,
,South Korea,1/22/2020 12:00,1,,,
Anhui,Mainland China,1/23/20 12:00 PM,9,4,,
Beijing,Mainland China,1/23/20 12:00 PM,22,,,
Chongqing,Mainland China,1/23/20 12:00 PM,9,,,
Fujian,Mainland China,1/23/20 12:00 PM,5,2,,
Gansu,Mainland China,1/23/20 12:00 PM,2,,,
Guangdong,Mainland China,1/23/20 12:00 PM,32,1,2,
Guangxi,Mainland China,1/23/20 12:00 PM,5,,,
Guizhou,Mainland China,1/23/20 12:00 PM,3,,,
Hainan,Mainland China,1/23/20 12:00 PM,5,32,,
Hebei,Mainland China,1/23/20 12:00 PM,1,,,1
Heilongjiang,Mainland China,1/23/20 12:00 PM,2,,,
Henan,Mainland China,1/23/20 12:00 PM,5,,,
Hong Kong,Hong Kong,1/23/20 12:00 PM,2,65,,
Hubei,Mainland China,1/23/20 12:00 PM,444,,28,17
Hunan,Mainland China,1/23/20 12:00 PM,9,,,
Inner Mongolia,Mainland China,1/23/20 12:00 PM,,1,,
Jiangsu,Mainland China,1/23/20 12:00 PM,5,,,
Jiangxi,Mainland China,1/23/20 12:00 PM,7,,,
Jilin,Mainland China,1/23/20 12:00 PM,1,,,
Liaoning,Mainland China,1/23/20 12:00 PM,3,,,
Macau,Macau,1/23/20 12:00 PM,2,,,
Ningxia,Mainland China,1/23/20 12:00 PM,1,,,
Qinghai,Mainland China,1/23/20 12:00 PM,,,,
Shaanxi,Mainland China,1/23/20 12:00 PM,3,1,,
Shandong,Mainland China,1/23/20 12:00 PM,6,2,,
Shanghai,Mainland China,1/23/20 12:00 PM,16,22,,
Shanxi,Mainland China,1/23/20 12:00 PM,1,,,
Sichuan,Mainland China,1/23/20 12:00 PM,8,2,,
Taiwan,Taiwan,1/23/20 12:00 PM,1,,,
Tianjin,Mainland China,1/23/20 12:00 PM,4,,,
Tibet,Mainland China,1/23/20 12:00 PM,,,,
Washington,US,1/23/20 12:00 PM,1,,,
