,Province/State,Country,Date last updated,Confirmed,Suspected,Recovered,Deaths
0,Shanghai,Mainland China,1/21/2020,9.0,10.0,0.0,0.0
1,Yunnan,Mainland China,1/21/2020,1.0,0.0,0.0,0.0
2,Beijing,Mainland China,1/21/2020,10.0,0.0,0.0,0.0
3,Taiwan,Taiwan,1/21/2020,1.0,0.0,0.0,0.0
4,Jilin,Mainland China,1/21/2020,0.0,1.0,0.0,0.0
5,Sichuan,Mainland China,1/21/2020,2.0,1.0,0.0,0.0
6,Tianjin,Mainland China,1/21/2020,2.0,0.0,0.0,0.0
7,Ningxia,Mainland China,1/21/2020,0.0,1.0,0.0,0.0
8,Anhui,Mainland China,1/21/2020,0.0,3.0,0.0,0.0
9,Shandong,Mainland China,1/21/2020,1.0,0.0,0.0,0.0
10,Guangdong,Mainland China,1/21/2020,17.0,4.0,0.0,0.0
11,Guangxi,Mainland China,1/21/2020,0.0,1.0,0.0,0.0
12,Jiangxi,Mainland China,1/21/2020,2.0,0.0,0.0,0.0
13,Henan,Mainland China,1/21/2020,1.0,0.0,0.0,0.0
14,Zhejiang,Mainland China,1/21/2020,5.0,16.0,0.0,0.0
15,Hainan,Mainland China,1/21/2020,0.0,1.0,0.0,0.0
16,Hubei,Mainland China,1/21/2020,270.0,11.0,0.0,0.0
17,Hunan,Mainland China,1/21/2020,1.0,0.0,0.0,0.0
18,Guizhou,Mainland China,1/21/2020,0.0,1.0,0.0,0.0
19,Liaoning,Mainland China,1/21/2020,0.0,1.0,0.0,0.0
20,Chongqing,Mainland China,1/21/2020,5.0,0.0,0.0,0.0
21,Hong Kong,Hong Kong,1/21/2020,0.0,117.0,0.0,0.0
22,Heilongjiang,Mainland China,1/21/2020,0.0,1.0,0.0,0.0
23,0,Japan,1/21/2020,1.0,0.0,0.0,0.0
24,0,Thailand,1/21/2020,2.0,0.0,0.0,0.0
25,0,South Korea,1/21/2020,1.0,0.0,0.0,0.0
26,Washington,United States,1/21/2020,1.0,0.0,0.0,0.0
27,Anhui,Mainland China,1/22/2020 12:00,1.0,4.0,0.0,0.0
28,Beijing,Mainland China,1/22/2020 12:00,14.0,0.0,0.0,0.0
29,Chongqing,Mainland China,1/22/2020 12:00,6.0,0.0,0.0,0.0
30,Fujian,Mainland China,1/22/2020 12:00,1.0,0.0,0.0,0.0
31,Gansu,Mainland China,1/22/2020 12:00,0.0,0.0,0.0,0.0
32,Guangdong,Mainland China,1/22/2020 12:00,26.0,1.0,0.0,0.0
33,Guangxi,Mainland China,1/22/2020 12:00,2.0,1.0,0.0,0.0
34,Guizhou,Mainland China,1/22/2020 12:00,1.0,0.0,0.0,0.0
35,Hainan,Mainland China,1/22/2020 12:00,4.0,0.0,0.0,0.0
36,Hebei,Mainland China,1/22/2020 12:00,1.0,0.0,0.0,0.0
37,Heilongjiang,Mainland China,1/22/2020 12:00,0.0,1.0,0.0,0.0
38,Henan,Mainland China,1/22/2020 12:00,5.0,0.0,0.0,0.0
39,Hong Kong,Hong Kong,1/22/2020 12:00,0.0,117.0,0.0,0.0
40,Hubei,Mainland China,1/22/2020 12:00,444.0,0.0,0.0,0.0
41,Hunan,Mainland China,1/22/2020 12:00,4.0,0.0,0.0,0.0
